bag_time_ns,header_stamp_sec,header_stamp_nanosec,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,fix_quality,num_satellites,speed,track
1770485863266231785,63463,0,GPS1_Frame,42.253558000000005,-71.82184366666667,174.6,267222.50872480206,4681785.152169723,19,T,1.02,,,,
1770485864265580078,63464,0,GPS1_Frame,42.25355866666667,-71.821844,174.5,267222.4836792145,4681785.227112391,19,T,1.02,,,,
1770485865268008203,63465,0,GPS1_Frame,42.25355983333334,-71.82184550000001,174.2,267222.3642264978,4681785.360768478,19,T,1.02,,,,
1770485866265461703,63466,0,GPS1_Frame,42.25355983333334,-71.8218465,173.7,267222.2817287477,4681785.363502754,19,T,1.02,,,,
1770485867265735079,63467,0,GPS1_Frame,42.253558999999996,-71.82184699999999,173.3,267222.237412792,4681785.272330835,19,T,1.02,,,,
1770485868269826913,63468,0,GPS1_Frame,42.25355816666667,-71.82184733333334,173.0,267222.20684645826,4681785.180703208,19,T,1.02,,,,
1770485869269765413,63469,0,GPS1_Frame,42.25355716666666,-71.82184816666667,172.8,267222.1344178337,4681785.071934906,19,T,1.02,,,,
1770485870268476789,63470,0,GPS1_Frame,42.253556333333336,-71.82184866666667,172.7,267222.09010187467,4681784.980762991,19,T,1.02,,,,
1770485871268923914,63471,0,GPS1_Frame,42.25355549999999,-71.821849,172.6,267222.0595355381,4681784.889135363,19,T,1.02,,,,
1770485872269465623,63472,0,GPS1_Frame,42.253554833333325,-71.82184950000001,172.6,267222.0158329918,4681784.816471259,19,T,1.02,,,,
1770485873264773873,63473,0,GPS1_Frame,42.25355366666666,-71.82185,172.6,267221.9702901961,4681784.688283723,19,T,1.02,,,,
1770485874266532791,63474,0,GPS1_Frame,42.25355249999999,-71.82184983333333,172.6,267221.9797459041,4681784.558273333,19,T,1.02,,,,
1770485875270254041,63475,0,GPS1_Frame,42.25355133333334,-71.82184766666666,172.8,267222.1541971353,4681784.4227943905,19,T,1.02,,,,
1770485876265876958,63476,0,GPS1_Frame,42.25355233333333,-71.82184516666666,173.7,267222.36412203236,4681784.527005565,19,T,1.02,,,,
1770485877263449792,63477,0,GPS1_Frame,42.253550833333335,-71.82184283333332,174.1,267222.5510960691,4681784.3540552985,19,T,1.02,,,,
1770485878266942793,63478,0,GPS1_Frame,42.25354833333334,-71.82184016666666,173.9,267222.7618888787,4681784.069146749,19,T,1.02,,,,
1770485879264878126,63479,0,GPS1_Frame,42.25354516666666,-71.82183983333333,173.7,267222.77773325547,4681783.716586919,19,T,1.02,,,,
1770485880265463918,63480,0,GPS1_Frame,42.25354466666666,-71.82184116666667,174.3,267222.6658959858,4681783.66470918,19,T,1.02,,,,
1770485881267851836,63481,0,GPS1_Frame,42.253547,-71.82184233333334,174.3,267222.5782363977,4681783.927008514,19,T,1.07,,,,
1770485882265592253,63482,0,GPS1_Frame,42.253544833333336,-71.82184316666667,175.0,267222.5015138612,4681783.688685534,19,T,1.02,,,,
1770485883266842253,63483,0,GPS1_Frame,42.25354533333334,-71.82184233333334,174.8,267222.57210224634,4681783.7419304075,19,T,1.02,,,,
1770485884265839087,63484,0,GPS1_Frame,42.2535455,-71.82183883333333,174.1,267222.86145785346,4681783.750868274,19,T,1.02,,,,
1770485885268522796,63485,0,GPS1_Frame,42.25354583333333,-71.821839,174.4,267222.8489350545,4681783.788339604,19,T,1.02,,,,
