bag_time_ns,header_stamp_sec,header_stamp_nanosec,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,fix_quality,num_satellites,speed,track
1770483162152891831,60762,0,GPS1_Frame,42.253579499999994,-71.82181783333334,176.3,267224.7190466308,4681787.469042254,19,T,0.84,,,,
1770483163101815206,60763,0,GPS1_Frame,42.25357900000001,-71.82181733333333,175.8,267224.7584552638,4681787.412151699,19,T,0.84,,,,
1770483164101287832,60764,0,GPS1_Frame,42.25358116666666,-71.82181366666667,175.6,267225.0689212413,4681787.642727671,19,T,0.84,,,,
1770483165101083915,60765,0,GPS1_Frame,42.2535805,-71.82181483333333,175.4,267224.97022026096,4681787.57188638,19,T,0.84,,,,
1770483166102795249,60766,0,GPS1_Frame,42.25357999999999,-71.821815,175.3,267224.95463041204,4681787.516818654,19,T,0.86,,,,
1770483167152381250,60767,0,GPS1_Frame,42.25357433333333,-71.82181583333333,175.4,267224.86502637947,4681786.889831626,19,T,0.74,,,,
1770483168100061584,60768,0,GPS1_Frame,42.25357266666666,-71.82182366666666,175.6,267224.2126600406,4681786.726171807,19,T,0.86,,,,
1770483169101757209,60769,0,GPS1_Frame,42.253569500000005,-71.82182166666666,175.9,267224.3660006971,4681786.369054898,19,T,0.98,,,,
1770483170100856835,60770,0,GPS1_Frame,42.253572166666665,-71.82181583333333,176.3,267224.8570520534,4681786.649230083,19,T,0.96,,,,
1770483171101615168,60771,0,GPS1_Frame,42.25356983333333,-71.82181333333332,176.2,267225.05470865907,4681786.383285121,19,T,0.96,,,,
1770483172099864794,60772,0,GPS1_Frame,42.25358016666667,-71.82179716666666,175.8,267226.42645321717,4681787.486565912,19,T,0.84,,,,
1770483173153552211,60773,0,GPS1_Frame,42.25358016666667,-71.82179500000001,176.1,267226.6051982796,4681787.480641753,19,T,0.74,,,,
1770483174100799253,60774,0,GPS1_Frame,42.25357999999999,-71.82179,175.9,267227.0170734937,4681787.448462824,19,T,0.84,,,,
1770483175100121004,60775,0,GPS1_Frame,42.2535785,-71.82178666666667,176.0,267227.2865452716,4681787.272778463,19,T,0.88,,,,
1770483176100288421,60776,0,GPS1_Frame,42.25357983333333,-71.8217855,176.3,267227.38769984065,4681787.417651029,19,T,0.84,,,,
1770483177100208171,60777,0,GPS1_Frame,42.25358033333334,-71.82178300000001,176.5,267227.5957843566,4681787.466338923,19,T,0.88,,,,
1770483178100707797,60778,0,GPS1_Frame,42.25358566666667,-71.82177216666668,176.4,267228.5091384962,4681788.028968271,19,T,0.88,,,,
1770483179099944214,60779,0,GPS1_Frame,42.25358933333334,-71.82176683333334,176.6,267228.9626210937,4681788.4215577,19,T,0.84,,,,
1770483180099614964,60780,0,GPS1_Frame,42.25359016666666,-71.821765,176.8,267229.1169338918,4681788.509084059,19,T,0.88,,,,
1770483181100236173,60781,0,GPS1_Frame,42.253591166666666,-71.82176383333334,176.9,267229.21686161135,4681788.616941028,19,T,0.88,,,,
1770483182101954590,60782,0,GPS1_Frame,42.25359066666667,-71.8217635,176.9,267229.2425206534,4681788.560506196,19,T,0.88,,,,
1770483183101572216,60783,0,GPS1_Frame,42.253591166666666,-71.8217605,177.0,267229.4918539728,4681788.607827048,19,T,0.88,,,,
1770483184101260258,60784,0,GPS1_Frame,42.25359133333333,-71.82176033333333,177.1,267229.5062169882,4681788.625879157,19,T,0.88,,,,
1770483185102530508,60785,0,GPS1_Frame,42.25359166666667,-71.82176016666668,177.2,267229.52119340166,4681788.662439082,19,T,0.88,,,,
1770483186102102467,60786,0,GPS1_Frame,42.25359066666667,-71.82175950000001,177.4,267229.57251148636,4681788.549569421,19,T,0.88,,,,
1770483187101726384,60787,0,GPS1_Frame,42.25359216666667,-71.821762,178.0,267229.3717877979,4681788.722975203,19,T,0.88,,,,
1770483188100731301,60788,0,GPS1_Frame,42.253593833333326,-71.82176416666667,177.9,267229.1991767545,4681788.913977399,19,T,0.88,,,,
1770483189100132885,60789,0,GPS1_Frame,42.25359433333333,-71.8217625,177.9,267229.3385131234,4681788.964943838,19,T,0.84,,,,
1770483190151842719,60790,0,GPS1_Frame,42.25359083333333,-71.82175550000001,177.7,267229.90311572014,4681788.557140473,19,T,0.84,,,,
1770483191156029511,60791,0,GPS1_Frame,42.25358866666667,-71.82175083333333,177.8,267230.280130883,4681788.303779405,19,T,0.74,,,,
1770483192151852553,60792,0,GPS1_Frame,42.25358716666666,-71.82175283333332,177.8,267230.10961489595,4681788.142677473,19,T,0.74,,,,
1770483193102921679,60793,0,GPS1_Frame,42.253583666666664,-71.82175950000001,176.8,267229.5467487873,4681787.772241372,19,T,0.84,,,,
1770483194151880304,60794,0,GPS1_Frame,42.25357916666667,-71.82176616666668,176.3,267228.98020222865,4681787.290758446,19,T,0.84,,,,
1770483195155424888,60795,0,GPS1_Frame,42.25357766666666,-71.82177066666667,175.4,267228.60344187287,4681787.136492047,19,T,0.84,,,,
1770483196100007972,60796,0,GPS1_Frame,42.253579666666674,-71.82177416666667,175.1,267228.32206063776,4681787.368155493,19,T,0.84,,,,
1770483197101075806,60797,0,GPS1_Frame,42.25357766666666,-71.8217795,175.0,267227.8747119582,4681787.160644206,19,T,0.84,,,,
1770483198150928598,60798,0,GPS1_Frame,42.25357766666666,-71.82178350000001,175.2,267227.5447210525,4681787.171581057,19,T,0.84,,,,
1770483199149929598,60799,0,GPS1_Frame,42.25357883333333,-71.82178666666667,175.1,267227.2877720784,4681787.309794085,19,T,0.84,,,,
